,Date,dma_ml,rf_ta,hmm,ff_ta,impulse,ta_50,kalman_filter
404,14-10-2021,1,1,1,1,1,1,1
405,18-10-2021,1,1,1,1,1,1,1
406,19-10-2021,1,1,1,1,1,1,1
407,20-10-2021,1,1,1,1,0,1,1
408,21-10-2021,1,1,1,1,0,1,1
409,22-10-2021,1,1,1,1,0,1,1
410,25-10-2021,-1,1,1,-1,0,1,1
411,26-10-2021,-1,1,1,-1,1,1,1
412,27-10-2021,-1,1,1,-1,0,1,1
413,28-10-2021,-1,1,1,-1,-1,1,1
