Scrip Code,Company,LTP,Change Val,Pts Contribution
532966,TWL,73.7,-0.25,-0.03
505710,GRAUWEIL,70.65,-0.25,-0.03
531179,ARMANFIN,697.55,-2.65,-0.03
533137,DEN,55.2,-0.25,-0.03
502420,ORIENTPPR,29.9,-0.15,-0.03
543233,CHEMCON,492.3,-2.5,-0.03
533339,ZENTEC,95.5,-0.5,-0.03
532983,RPGLIFE,462.75,-4.05,-0.03
539334,SHREEPUSHK,181.4,-1.6,-0.03
532867,V2RETAIL,129.5,-1.2,-0.03
507410,WALCHANNAG,70.6,-0.85,-0.03
500464,UCALFUEL,161.85,-2.75,-0.03
540768,MAHLOG,582.05,-0.75,-0.04
500111,RELCAPITAL,19.95,-0.1,-0.04
523618,DREDGECORP,394.65,-3,-0.04
514418,MANORG,783.9,-6.9,-0.04
531543,JINDWORLD,75.9,-0.85,-0.04
543223,MAXINDIA,73.45,-0.85,-0.04
539126,MEP,26.5,-0.35,-0.04
523574,FEL,10.96,-0.15,-0.04
533229,BAJAJCON,289.2,-0.3,-0.05
534804,CARERATING,708.15,-0.95,-0.05
531426,TNPL,150.6,-0.65,-0.05
531761,APOLLOPIPES,989.75,-4.7,-0.05
534809,PCJEWELLER,27.55,-0.15,-0.05
532924,KOLTEPATIL,242.15,-1.5,-0.05
540797,SHALBY,191.15,-1.25,-0.05
532890,TAKE,64.95,-0.5,-0.05
540649,AVADHSUGAR,471.85,-4,-0.05
508906,EVERESTIND,415.6,-3.65,-0.05
533162,HATHWAY,26.8,-0.3,-0.05
532661,RML,412.9,-5.8,-0.05
532374,STLTECH,300.3,-0.2,-0.06
532388,IOB,25.25,-0.05,-0.06
532638,SHOPERSTOP,247.05,-0.95,-0.06
519126,HNDFDS,1989.5,-7.5,-0.06
532710,SADBHAV,79.2,-0.4,-0.06
532891,PURVA,112.65,-0.6,-0.06
523445,RIIL,771.85,-4.4,-0.06
506414,FERMENTA,309.95,-3.2,-0.06
509874,SHALPAINTS,112.85,-1.7,-0.06
534742,ZUARI,150.35,-2.4,-0.06
523754,MAHEPC,167.85,-2.8,-0.06
533267,CANTABIL,425.3,-7.95,-0.06
539289,MJCO,91.9,-2.1,-0.06
532974,BIRLAMONEY,79.9,-2.3,-0.06
540699,DIXON,4644.15,-1.15,-0.07
500645,DEEPAKFERT,416.25,-0.85,-0.07
506820,ASTRAZEN,3517.25,-7.1,-0.07
532162,JKPAPER,218.95,-0.55,-0.07
533269,WABAG,361.95,-0.95,-0.07
532900,PAISALO,660.25,-1.9,-0.07
513683,NLCINDIA,60.05,-0.2,-0.07
