Date,Open,High,Low,Close
12-04-2017,11.395,12.065,10.79,11.6275
13-04-2017,11.6275,11.7825,10.585,11.5775
17-04-2017,11.5775,12.2125,10.6925,11.8925
18-04-2017,11.8925,12.5925,10.76,12.375
19-04-2017,12.375,12.515,10.745,12.215
20-04-2017,12.215,12.215,10.855,11.56
21-04-2017,11.56,11.735,10.555,11.4225
24-04-2017,11.4225,11.855,10.9675,11.625
25-04-2017,11.625,11.625,10.9725,11.155
26-04-2017,11.155,11.865,9.9174995,11.74
27-04-2017,11.74,11.74,10.36,11.07
28-04-2017,11.07,11.07,10.5325,10.86
02-05-2017,10.86,11.8075,10.3525,11.4475
03-05-2017,11.4475,11.66,9.9449997,11.5275
04-05-2017,11.5275,11.7825,10.605,11.3325
05-05-2017,11.3325,12.16,10.4525,11.9875
08-05-2017,11.9875,11.9875,10.6125,11.665
09-05-2017,11.665,11.665,10.5425,11.1125
10-05-2017,11.1125,11.1125,9.9575005,10.9475
11-05-2017,10.9475,11.26,9.8975,10.8375
12-05-2017,10.8375,10.8375,9.4650002,10.6275
15-05-2017,10.6275,11.14,8.835,10.675
16-05-2017,10.675,11.0225,9.0649996,10.56
17-05-2017,10.56,10.8075,9.2449999,10.635
18-05-2017,10.635,12.745,9.8175001,11.785
19-05-2017,11.785,11.9,10.3975,11.3025
22-05-2017,11.3025,11.8525,10.2,11.2025
23-05-2017,11.2025,12.765,9.8649998,12.2025
24-05-2017,12.2025,12.785,10.45,11.83
25-05-2017,11.83,11.92,10.1925,10.4475
26-05-2017,10.4475,11.1875,9.8874998,10.8625
29-05-2017,10.8625,11.8775,10.26,11.7875
30-05-2017,11.7875,12.2725,10.8625,11.765
31-05-2017,11.765,12.2475,11.02,11.7625
01-06-2017,11.7625,11.9125,10.6125,11.3075
02-06-2017,11.3075,11.3075,10.3125,10.81
05-06-2017,10.81,11.1425,10.0525,11.015
06-06-2017,11.015,11.32,9.4899998,11.1325
07-06-2017,11.1325,11.185,10.2225,10.89
08-06-2017,10.89,11.1275,9.5275002,11.0675
09-06-2017,11.0675,11.225,10.275,10.8625
12-06-2017,10.8625,11.5025,10.3525,11.4225
13-06-2017,11.4225,11.4625,9.9025002,11.34
14-06-2017,11.34,11.5275,10.44,11.18
15-06-2017,11.18,11.43,9.8850002,11.325
16-06-2017,11.325,11.325,9.7124996,10.915
19-06-2017,10.915,10.915,9.7425003,10.6275
20-06-2017,10.6275,10.8725,9.8199997,10.6575
21-06-2017,10.6575,11.055,9.7749996,10.915
22-06-2017,10.915,11.42,10.07,11.2075
23-06-2017,11.2075,11.78,8.7550001,11.5575
