time,open,high,low,close,Volume,Volume MA
1548387000,38911,39721,38911,39691,26122,19973.9
1548646200,39750,40119,39674,39954,20714,19991.75
1548732600,39955,40360,39926,40293,22777,20921
1548819000,40216,40495,40180,40357,18036,20379.95
1548905400,40397,40690,40364,40462,21387,20161.1
1548991800,40400,40800,40215,40604,25807,20118.5
1549251000,40500,40659,40251,40633,21254,20170.9
1549337400,40590,40749,40370,40388,18871,20133.9
1549423800,40433,40456,40145,40168,16535,19854.2
1549510200,40100,40100,39877,39941,17430,19721.3
1549596600,39878,40266,39752,40129,20327,19795.2
1549855800,40120,40120,39751,39835,15670,19827.05
1549942200,39970,39970,39460,39516,20080,19743.55
1550028600,39550,39925,39507,39603,19203,19714.9
1550115000,39593,39593,39278,39456,21732,19957.9
1550201400,39500,40071,39500,39970,21404,19934.4
1550460600,40080,40298,40080,40183,12686,19683.8
1550547000,40273,40594,40162,40570,18395,19609.45
1550633400,40645,40946,40542,40898,15055,19430.1
1550719800,40712,40712,40131,40175,20286,19688.55
1550806200,40771,40961,40671,40891,2468,18505.85
1551065400,40940,41030,40635,40660,3534,17646.85
1551151800,40800,40997,40600,40713,3887,16702.35
1551238200,40777,40918,40400,40435,6582,16129.65
1551324600,40500,40577,39905,39910,13830,15751.8
1551411000,39975,40070,39010,39071,25843,15753.6
1551756600,38820,38880,38415,38484,18484,15615.1
1551843000,38484,38674,38137,38194,21637,15753.4
1551929400,38248,38267,37930,38091,21063,15979.8
1552015800,38085,38830,38085,38759,26476,16432.1
1552275000,38737,38758,38410,38484,17895,16310.5
1552361400,38648,38880,38601,38714,18552,16454.6
1552447800,38750,38975,38730,38768,19442,16422.7
1552534200,38800,38800,37857,37962,30323,16978.7
1552620600,38100,38360,38050,38119,21612,16972.7
1552879800,38100,38150,37780,37942,18594,16832.2
1552966200,37976,38400,37976,38287,21013,17248.55
1553052600,38170,38241,37911,38011,22452,17451.4
1553225400,38285,38565,38200,38393,23001,17848.7
1553484600,38451,38647,38373,38619,18689,17768.85
1553571000,38526,38599,38297,38353,19672,18629.05
1553657400,38376,38424,38009,38054,24100,19657.35
1553743800,38088,38119,37305,37352,29682,20947.1
1553830200,37300,37872,37300,37785,23384,21787.2
1554089400,37818,37852,37542,37640,20444,22117.9
1554175800,37650,37650,37064,37396,24405,22046
1554262200,37480,37560,37177,37254,24550,22349.3
1554348600,37310,37540,37037,37490,30486,22791.75
1554435000,37450,37812,37444,37549,30448,23261
1554694200,37670,38136,37670,38039,22913,23082.85
1554780600,37980,38165,37838,37867,21131,23244.65
1554867000,37820,37922,37652,37882,21465,23390.3
1554953400,37801,37801,36907,36949,32547,24045.55
1555039800,37088,37480,37045,37254,25253,23792.05
1555299000,37135,37350,36925,37299,23196,23871.25
1555385400,37206,37360,37091,37287,21133,23998.2
1555558200,37250,37410,37143,37258,18466,23870.85
1555903800,37300,37625,37300,37404,16460,23571.25
1555990200,37417,37484,36860,36997,24099,23626.15
1556076600,37607,38123,37552,38100,4809,22932.15
1556163000,38015,38298,37886,38096,5166,22206.85
1556249400,38162,38320,37921,38153,6589,21331.3
1556595000,38100,38100,37485,37762,21790,20936.7
1556767800,37125,37125,36678,36743,26201,21077.55
1556854200,36896,37469,36686,37425,35675,21839.1
1557113400,37307,37445,37078,37406,23857,21811.7
1557199800,37450,37548,37209,37489,24466,21807.5
1557286200,37522,37699,37400,37432,23950,21480.7
1557372600,37410,37596,37323,37427,23582,21137.4
1557459000,37395,37519,37291,37384,18223,20902.9
1557718200,37300,37750,37236,37680,25177,21105.2
1557804600,37688,37786,37490,37554,21009,21082.4
1557891000,37598,37710,37450,37548,19276,20418.85
1557977400,37515,37585,36876,36894,28209,20566.65
1558063800,36998,36998,36570,36611,23624,20588.05
1558323000,36580,36580,36113,36401,20175,20540.15
1558409400,36413,36413,36220,36281,16252,20429.45
1558495800,36340,36465,36251,36344,14932,20353.05
1558582200,36300,36766,36080,36693,23577,20326.95
1558668600,36683,36683,36393,36417,15757,20874.35
1558927800,36500,36635,36455,36491,13297,21280.9
1559014200,36470,36535,35887,35950,29689,22435.9
1559100600,36099,36350,36060,36314,27370,22714.9
1559187000,36200,36575,36063,36445,23567,22583.2
1559273400,36400,36735,36323,36476,25368,22067.85
1559532600,36575,36780,36425,36732,24049,22077.45
1559619000,36660,36911,36534,36878,27845,22246.4
1559791800,36902,37265,36892,37050,24922,22295
1559878200,37052,37599,36960,37376,32664,22749.1
1560137400,37275,37275,36555,36611,26025,23139.2
1560223800,36685,36850,36520,36760,22033,22982
1560310200,36827,36975,36743,36777,19981,22930.6
