time,open,high,low,close,"IN10Y, TVC: Open","IN10Y, TVC: High","IN10Y, TVC: Low","IN10Y, TVC: Close",Volume,Volume MA
1566531900,10699.6,10862.55,10637.15,10829.35,6.57800007,6.57800007,6.55100012,6.56400013,NaN,NaN
1566791100,11000.3,11070.3,10756.55,11057.85,6.50099993,6.52600002,6.47200012,6.47200012,NaN,NaN
1566877500,11106.55,11141.75,11049.5,11105.35,6.39099979,6.53000021,6.39099979,6.52099991,NaN,NaN
1566963900,11101.3,11129.65,10987.65,11046.1,6.51800013,6.57600021,6.50099993,6.56400013,NaN,NaN
1567050300,10996.05,11021.1,10922.4,10948.3,6.56599998,6.62400007,6.53700018,6.54300022,NaN,NaN
1567136700,10987.8,11042.6,10874.8,11023.25,6.5619998,6.58199978,6.55299997,6.55600023,NaN,NaN
1567482300,10960.95,10967.5,10772.7,10797.9,6.50099993,6.52899981,6.49300003,6.51399994,NaN,NaN
1567568700,10790.4,10858.75,10746.35,10844.65,6.5079999,6.54699993,6.49900007,6.54500008,NaN,NaN
1567655100,10860.95,10920.1,10816,10847.9,6.58599997,6.59700012,6.55499983,6.5710001,NaN,NaN
1567741500,10883.8,10957.05,10867.45,10946.2,6.59499979,6.60200024,6.57399988,6.59700012,NaN,NaN
1568000700,10936.7,11028.85,10889.8,11003.05,6.60599995,6.60599995,6.5630002,6.57000017,NaN,NaN
1568173500,11028.5,11054.8,11011.65,11035.7,6.60599995,6.67500019,6.59499979,6.67399979,NaN,NaN
1568259900,11058.3,11081.75,10964.95,10982.8,6.66900015,6.70499992,6.63100004,6.65799999,NaN,NaN
1568346300,10986.8,11084.45,10945.75,11075.9,6.66599989,6.67399979,6.60699987,6.63100004,NaN,NaN
1568605500,10994.85,11052.7,10968.2,11003.5,6.72599983,6.74599981,6.68300009,6.71000004,NaN,NaN
1568691900,11000.1,11000.1,10796.5,10817.6,6.72800016,6.73699999,6.69999981,6.72800016,NaN,NaN
1568778300,10872.8,10885.15,10804.85,10840.65,6.65999985,6.67999983,6.60200024,6.6170001,NaN,NaN
1568864700,10845.2,10845.2,10670.25,10704.8,6.61100006,6.6420002,6.57299995,6.63399982,NaN,NaN
1568951100,10746.8,11381.9,10691,11274.2,6.58699989,6.87400007,6.55200005,6.78200006,NaN,NaN
1569210300,11542.7,11694.85,11471.35,11600.2,6.77899981,6.80100012,6.73000002,6.73899984,NaN,NaN
1569296700,11590.7,11655.05,11539.2,11588.2,6.7420001,6.78200006,6.7329998,6.7750001,NaN,NaN
1569383100,11564.85,11564.95,11416.1,11440.2,6.77400017,6.77699995,6.74399996,6.75400019,NaN,NaN
1569469500,11469.85,11610.85,11466.35,11571.2,6.76200008,6.77099991,6.69700003,6.71000004,NaN,NaN
1569555900,11556.35,11593.6,11499.75,11512.4,6.76399994,6.76399994,6.70800018,6.72900009,NaN,NaN
1569815100,11491.15,11508.25,11390.8,11474.45,6.70599985,6.71000004,6.68100023,6.69500017,NaN,NaN
1569901500,11515.4,11554.2,11247.9,11359.9,6.67999983,6.70200014,6.65199995,6.65700006,NaN,NaN
1570074300,11322.25,11370.4,11257.35,11314,6.60500002,6.61999989,6.59899998,6.60599995,NaN,NaN
1570160700,11388.45,11400.3,11158.35,11174.75,6.60200024,6.68400002,6.58199978,6.67999983,NaN,NaN
1570419900,11196.2,11233.85,11112.65,11126.4,6.69299984,6.69299984,6.65999985,6.66900015,NaN,NaN
1570592700,11152.95,11321.6,11090.15,11313.3,6.65899992,6.66599989,6.63600016,6.65500021,NaN,NaN
1570679100,11280.5,11293.35,11208.55,11234.55,6.65999985,6.68400002,6.65999985,6.6789999,NaN,NaN
1570765500,11257.7,11362.9,11189.4,11305.05,6.70300007,6.73099995,6.69799995,6.72700024,NaN,NaN
1571024700,11335.9,11420.45,11290.05,11341.15,6.73699999,6.73899984,6.67000008,6.67000008,NaN,NaN
1571111100,11360.85,11462.35,11342.1,11428.3,6.69700003,6.69700003,6.65100002,6.65999985,NaN,NaN
1571197500,11464.95,11481.05,11411.1,11464,6.66900015,6.77349997,6.6420002,6.76949978,NaN,NaN
1571283900,11466.3,11599.1,11439.65,11586.35,6.76749992,6.83249998,6.7505002,6.81349993,NaN,NaN
1571370300,11580.3,11684.7,11553.15,11661.85,6.81449986,6.81899977,6.8039999,6.80550003,NaN,NaN
1571715900,11657.15,11714.35,11573.65,11588.35,6.82649994,6.82649994,6.80550003,6.81449986,NaN,NaN
1571802300,11596.2,11651.6,11554.4,11604.1,6.80950022,6.80950022,6.7874999,6.79150009,NaN,NaN
1571888700,11661.65,11679.6,11534.65,11582.6,6.81150007,6.82299995,6.78999996,6.79150009,NaN,NaN
1571975100,11646.15,11646.9,11490.75,11583.9,6.79449987,6.80100012,6.77549982,6.78350019,NaN,NaN
1572179400,11662.25,11672.4,11604.6,11627.15,NaN,NaN,NaN,NaN,NaN,NaN
1572320700,11643.95,11809.4,11627.35,11786.85,6.81150007,6.81150007,6.79099989,6.79250002,NaN,NaN
1572407100,11883.9,11883.95,11784.45,11844.1,6.78350019,6.78900003,6.77250004,6.77750015,NaN,NaN
1572493500,11890.45,11945,11855.1,11877.45,6.77050018,6.78249979,6.75500011,6.75500011,NaN,NaN
1572579900,11886.6,11918.3,11843.35,11890.6,6.53649998,6.55350018,6.52050018,6.54850006,NaN,NaN
1572839100,11928.9,11989.15,11905.35,11941.3,6.5619998,6.58050013,6.55499983,6.57600021,NaN,NaN
