time,open,high,low,close,"IN10, TVC: Open","IN10, TVC: High","IN10, TVC: Low","IN10, TVC: Close",Volume,Volume MA
1591760700,10072.6,10148.75,10036.85,10116.15,100.07,100.15,100.065,100.12,NaN,NaN
1591847100,10094.1,10112.05,9885.0498,9902,100.1,100.25,100,100.05,NaN,NaN
1591933500,9544.9502,9996.0498,9544.3496,9972.9004,100.03,100.12,99.903,99.94,NaN,NaN
1592192700,9919.3496,9943.3496,9726.3496,9813.7002,99.65,100.033,99.65,99.97,NaN,NaN
1592279100,10014.8,10046.15,9728.5,9914,99.7,99.92,99.45,99.57,NaN,NaN
1592365500,9876.7002,10003.6,9833.7998,9881.1504,99.46,99.66,99.46,99.65,NaN,NaN
1592451900,9863.25,10111.2,9845.0498,10091.65,99.5,99.78,99.5,99.75,NaN,NaN
1592538300,10119,10272.4,10072.65,10244.4,99.6,99.703,99.5,99.55,NaN,NaN
1592797500,10318.75,10393.65,10277.6,10311.2,99.45,99.65,99.275,99.34,NaN,NaN
1592883900,10347.95,10484.7,10301.75,10471,99.06,99.32,99.06,99.15,NaN,NaN
1592970300,10529.25,10553.15,10281.95,10305.3,98.9,99.283,98.9,99.04,NaN,NaN
1593056700,10235.55,10361.8,10194.5,10288.9,98.91,99.24,98.91,99.24,NaN,NaN
1593143100,10378.9,10409.85,10311.25,10383,99.05,99.283,99.02,99.08,NaN,NaN
1593402300,10311.95,10337.95,10223.6,10312.4,98.89,99.228,98.89,99.15,NaN,NaN
1593488700,10382.6,10401.05,10267.35,10302.1,99,99.36,99,99.26,NaN,NaN
1593575100,10323.8,10447.05,10299.6,10430.05,99.12,99.75,99.12,99.63,NaN,NaN
1593661500,10493.05,10598.2,10485.55,10551.7,99.56,99.758,99.56,99.61,NaN,NaN
1593747900,10614.95,10631.3,10562.65,10607.35,99.52,99.58,99.375,99.58,NaN,NaN
1594007100,10723.85,10811.4,10695.1,10763.65,99.538,99.73,99.538,99.65,NaN,NaN
1594093500,10802.85,10813.8,10689.7,10799.65,99.65,99.973,99.573,99.97,NaN,NaN
1594179900,10818.65,10847.85,10676.55,10705.75,99.9,100.21,99.9,100.08,NaN,NaN
1594266300,10755.55,10836.85,10733,10813.45,100.18,100.18,99.96,100.12,NaN,NaN
1594352700,10764.1,10819.4,10713,10768.05,100.1,100.305,100.1,100.21,NaN,NaN
